"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录功能","3","0","多用户登录测试","0"
"0","","0","购物流程","1","0","完整下单流程","0"
"0","","0","登录功能","1","0","锁定用户登录","0"
"0","","0","购物车功能","1","0","空购物车结算","0"
"0","","0","登录功能","1","0","问题用户登录","0"
